episode,agent0_outcome,agent0_step,agent1_outcome,agent1_step
226,arrived,8,arrived,8
227,arrived,9,arrived,10
228,arrived,9,arrived,8
229,arrived,9,arrived,7
230,arrived,9,arrived,9
231,crashed,3,crashed,5
232,arrived,9,arrived,10
233,arrived,9,arrived,8
234,arrived,9,arrived,9
235,arrived,8,arrived,8
236,arrived,8,arrived,8
237,arrived,8,arrived,8
238,arrived,8,arrived,8
239,arrived,7,arrived,7
240,arrived,8,arrived,8
241,arrived,8,arrived,8
242,arrived,9,arrived,7
243,arrived,8,arrived,8
244,crashed,5,arrived,7
245,arrived,9,arrived,8
246,arrived,9,arrived,11
247,crashed,3,arrived,8
248,arrived,8,arrived,8
249,crashed,3,arrived,9
250,arrived,9,arrived,7
251,arrived,9,crashed,5
252,arrived,8,arrived,8
253,arrived,8,arrived,8
254,arrived,8,arrived,8
255,arrived,9,arrived,8
256,arrived,9,crashed,6
257,arrived,10,arrived,15
258,crashed,4,arrived,7
259,arrived,8,crashed,9
260,arrived,8,arrived,8
261,arrived,9,arrived,8
262,arrived,7,arrived,7
263,arrived,8,arrived,8
264,crashed,6,arrived,8
265,crashed,6,arrived,10
266,arrived,10,arrived,8
267,arrived,8,arrived,10
268,arrived,8,arrived,8
269,arrived,8,arrived,8
270,arrived,9,arrived,8
271,arrived,8,arrived,8
272,arrived,9,arrived,7
273,crashed,6,arrived,9
274,arrived,9,arrived,8
275,arrived,9,arrived,8
276,arrived,8,arrived,10
277,arrived,9,arrived,7
278,arrived,8,arrived,8
279,arrived,8,arrived,9
280,arrived,8,arrived,8
281,arrived,9,arrived,8
282,crashed,6,arrived,8
283,arrived,7,arrived,7
284,arrived,8,arrived,7
285,arrived,9,arrived,8
286,arrived,8,arrived,8
287,arrived,9,arrived,9
288,arrived,9,arrived,9
289,crashed,6,arrived,7
290,arrived,8,arrived,8
291,arrived,15,crashed,7
292,arrived,8,arrived,7
293,arrived,9,arrived,8
294,arrived,9,crashed,9
295,arrived,9,arrived,8
296,arrived,8,arrived,10
297,crashed,9,arrived,8
298,arrived,8,arrived,8
299,crashed,10,arrived,8
